# Gujarati festival dates, Ahmedabad reckoning, VS 2082-2083 (2026-2027).
# Hand-curated and cross-checked against multiple panchang sources.
# Lines starting with # are ignored. Format: date,name  (date = YYYY-MM-DD Gregorian)
#
# CONFIRM-WITH-FAMILY items (genuine 1-day source splits):
#   2026-10-18 Durgashtami  -- some panchangs place Ashtami puja 2026-10-19 (tithi merge)
#   2026-11-10 Bestu Varas  -- some families observe 2026-11-09 (morning after Diwali)
#   2027-01-14 Uttarayan    -- astronomical Makar Sankranti may compute to 2027-01-15
#   2027-03-06 Maha Shivratri -- some sources 2027-03-07
#   2026-10-25 Sharad Purnima, 2027-07-18 Guru Purnima, 2027-08-22 Nag Panchami -- verify
date,name
2026-08-28,Raksha Bandhan
2026-09-01,Nag Panchami (Gujarat)
2026-09-04,Krishna Janmashtami
2026-09-14,Ganesh Chaturthi
2026-09-25,Anant Chaturdashi
2026-10-10,Mahalaya Amavasya (Sarva Pitru)
2026-10-11,Navratri Night 1 (Shailaputri)
2026-10-12,Navratri Night 2 (Brahmacharini)
2026-10-13,Navratri Night 3 (Chandraghanta)
2026-10-14,Navratri Night 4 (Kushmanda)
2026-10-15,Navratri Night 5 (Skandamata)
2026-10-16,Navratri Night 6 (Katyayani)
2026-10-17,Navratri Night 7 (Kalaratri)
2026-10-18,Navratri Night 8 (Mahagauri)
2026-10-19,Navratri Night 9 (Siddhidatri)
2026-10-18,Durgashtami
2026-10-20,Dussehra (Vijayadashami)
2026-10-25,Sharad Purnima
2026-11-06,Dhanteras
2026-11-07,Kali Chaudas (Naraka Chaturdashi)
2026-11-08,Diwali (Lakshmi Puja)
2026-11-10,Bestu Varas (Gujarati New Year)
2026-11-11,Bhai Bij
2026-11-14,Labh Pancham
2027-01-14,Uttarayan (Makar Sankranti)
2027-02-11,Vasant Panchami
2027-03-06,Maha Shivratri
2027-03-22,Holika Dahan
2027-03-23,Dhuleti (Holi)
2027-04-15,Ram Navami
2027-04-20,Hanuman Jayanti
2027-05-09,Akshaya Tritiya
2027-07-18,Guru Purnima
2027-08-17,Raksha Bandhan
2027-08-22,Nag Panchami (Gujarat)
2027-08-25,Krishna Janmashtami
2027-09-04,Ganesh Chaturthi
2027-09-14,Anant Chaturdashi
2027-09-29,Mahalaya Amavasya (Sarva Pitru)
2027-09-30,Navratri Night 1 (Shailaputri)
2027-10-01,Navratri Night 2 (Brahmacharini)
2027-10-02,Navratri Night 3 (Chandraghanta)
2027-10-03,Navratri Night 4 (Kushmanda)
2027-10-04,Navratri Night 5 (Skandamata)
2027-10-05,Navratri Night 6 (Katyayani)
2027-10-06,Navratri Night 7 (Kalaratri)
2027-10-07,Navratri Night 8 (Mahagauri)
2027-10-08,Navratri Night 9 (Siddhidatri)
2027-10-07,Durgashtami
2027-10-09,Dussehra (Vijayadashami)
2027-10-15,Sharad Purnima
2027-10-27,Dhanteras
2027-10-28,Kali Chaudas (Naraka Chaturdashi)
2027-10-29,Diwali (Lakshmi Puja)
2027-10-30,Bestu Varas (Gujarati New Year)
2027-10-31,Bhai Bij
2027-11-03,Labh Pancham
